label,text
Termination,"Either party may terminate this Agreement upon thirty (30) days' written notice to the other party."
Termination,"This Agreement may be terminated immediately by the Company for cause, including any material breach that remains uncured for ten (10) days after notice."
Termination,"The Client may terminate this engagement at any time, for any reason or no reason, upon written notice, without further obligation to the Contractor."
Termination,"Upon termination of this Agreement, all licenses granted herein shall immediately cease, and each party shall return or destroy the other party's Confidential Information."
Termination,"The Company reserves the right to terminate this Agreement at its sole discretion, effective immediately, without prior notice or liability."
Termination,"This Agreement shall terminate automatically upon the completion of the Services described in Exhibit A, unless earlier terminated as provided herein."
Termination,"Either party may terminate this Agreement for convenience by providing sixty (60) days' advance written notice."
Termination,"In the event of insolvency, bankruptcy, or assignment for the benefit of creditors by either party, the other party may terminate this Agreement immediately."
Termination,"Termination of this Agreement shall not relieve either party of obligations accrued prior to the effective date of termination."
Termination,"The Vendor may suspend or terminate access to the Services if payment is not received within fifteen (15) days of the due date."
Termination,"This Agreement may be terminated by mutual written consent of both parties at any time."
Termination,"Should either party fail to perform any material obligation under this Agreement and fail to remedy such failure within thirty (30) days of written notice, the non-breaching party may terminate this Agreement."
Termination,"Upon expiration or termination, the Employee shall immediately return all Company property, including devices, documents, and access credentials."
Termination,"The Licensor may terminate this license without notice if the Licensee is found to be using the Software in violation of Section 3."
Liability,"In no event shall either party be liable for any indirect, incidental, special, or consequential damages arising out of this Agreement."
Liability,"Each party's total cumulative liability under this Agreement shall not exceed the total fees paid in the twelve (12) months preceding the claim."
Liability,"The Contractor's liability under this Agreement shall be unlimited and shall extend to all direct, indirect, and consequential damages, without any cap."
Liability,"Neither party shall be liable to the other for loss of profits, loss of data, or business interruption, regardless of the legal theory asserted."
Liability,"The Company shall not be liable for any damages exceeding the amount actually paid by the Client under this Agreement."
Liability,"The Supplier assumes unlimited liability for any and all losses, damages, or claims arising from the use of the Product, with no limitation of any kind."
Liability,"Notwithstanding anything to the contrary, neither party's liability arising from a breach of confidentiality shall be subject to any limitation set forth in this Section."
Liability,"Each party agrees that the other party's maximum aggregate liability arising out of or related to this Agreement shall not exceed $50,000."
Liability,"The parties agree that liability for gross negligence or willful misconduct shall not be limited or excluded under this Agreement."
Liability,"In no event shall the Vendor's liability for any claim exceed the fees paid by the Customer during the three (3) months preceding the event giving rise to the claim."
Liability,"The Company disclaims any liability whatsoever for damages of any kind, and the Client accepts all risk associated with use of the Services."
Liability,"Liability for bodily injury or death caused by a party's negligence shall not be capped under any provision of this Agreement."
Confidentiality,"Each party agrees to hold the other party's Confidential Information in strict confidence and not to disclose it to any third party without prior written consent."
Confidentiality,"The obligations of confidentiality set forth in this Section shall survive termination of this Agreement for a period of five (5) years."
Confidentiality,"The receiving party shall keep all Confidential Information confidential in perpetuity, with no time limitation whatsoever."
Confidentiality,"Confidential Information does not include information that is independently developed by the receiving party or becomes publicly available through no fault of the receiving party."
Confidentiality,"Each party shall use the other party's Confidential Information solely for the purpose of performing its obligations under this Agreement."
Confidentiality,"The Employee agrees not to disclose any trade secrets or proprietary information of the Company during or after their employment, without any time limit on this restriction."
Confidentiality,"Upon request, the receiving party shall promptly return or destroy all copies of the disclosing party's Confidential Information."
Confidentiality,"Both parties acknowledge that unauthorized disclosure of Confidential Information may cause irreparable harm, entitling the injured party to seek injunctive relief."
Confidentiality,"Confidential Information shall be disclosed only to employees and contractors who have a need to know and are bound by confidentiality obligations no less protective than those herein."
Confidentiality,"The Contractor agrees to implement reasonable security measures to protect the confidentiality of all Client data."
Confidentiality,"Notwithstanding the foregoing, a party may disclose Confidential Information as required by law, provided it gives prompt notice to the other party."
Confidentiality,"This confidentiality obligation shall not apply to information already known to the receiving party prior to disclosure."
"Payment Terms","The Client shall pay all invoiced amounts within thirty (30) days of the invoice date."
"Payment Terms","All fees paid under this Agreement are non-refundable under any circumstances, including early termination."
"Payment Terms","Late payments shall accrue interest at a rate of 1.5% per month, or the maximum rate permitted by law, whichever is lower."
"Payment Terms","The Company reserves the right to suspend Services immediately upon any late payment, without further notice."
"Payment Terms","Payment shall be made in U.S. Dollars via wire transfer to the account designated by the Contractor."
"Payment Terms","A late fee of $100 shall be assessed for each payment received more than ten (10) days after its due date."
"Payment Terms","The Customer shall reimburse the Vendor for all reasonable, pre-approved out-of-pocket expenses incurred in connection with the Services."
"Payment Terms","All prices are exclusive of applicable taxes, which shall be the sole responsibility of the Client."
"Payment Terms","In the event of a billing dispute, the Client shall notify the Company in writing within fifteen (15) days of the invoice date."
"Payment Terms","The Company may increase fees upon sixty (60) days' written notice prior to any renewal term."
"Payment Terms","No refunds shall be issued for partial billing periods or unused services."
"Payment Terms","Payment obligations under this Agreement are non-cancelable once services have commenced."
Indemnification,"Each party shall indemnify, defend, and hold harmless the other party from any third-party claims arising out of its breach of this Agreement."
Indemnification,"The Contractor agrees to indemnify and hold harmless the Client, its officers, and employees from any and all claims, without any limitation on the scope or amount of such indemnification."
Indemnification,"The Vendor shall indemnify the Customer against claims of intellectual property infringement arising from use of the Product as intended."
Indemnification,"Each party's indemnification obligations shall be subject to the liability cap set forth in Section 8."
Indemnification,"The Client agrees to indemnify the Company for any losses resulting from the Client's misuse of the Services or violation of applicable law."
Indemnification,"The indemnifying party shall have sole control over the defense and settlement of any indemnified claim, provided it does not admit fault on behalf of the indemnified party without consent."
