label,text,source,group_id
Assignment,"['All rights (under any applicable intellectual property right) granted herein are not sublicenseable,<omitted>transferable or assignable.']",cuad,cuad:2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf
Assignment,"['Provider may not assign, delegate or otherwise transfer either this Agreement or any of its rights, interests, or obligations hereunder without the prior written approval of Recipient.']",cuad,cuad:ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.PDF
Assignment,"['Neither this Agreement, nor any of the rights, interests, or obligations under this Agreement may be assigned or delegated, in whole or in part, by operation of law or otherwise, by any party without the prior written consent of the other party, and any such assignment without such prior written consent shall be null and void; provided, however, that this Agreement may be assigned by a Party in connection with a Change in Control of such party, subject to the specific termination and other rights set forth in the Strategic<omitted>Alliance Agreement upon such Change in Control; provided, further, that Siemens may assign its rights and obligations under this Agreement to any Distributor that agrees, in writing, to be bound by and comply with the terms and conditions of this Agreement and the provisions of the Strategic Alliance Agreement, provided, that no such assignment shall relieve Siemens of its obligations hereunder or thereunder if such Distributor does not perform such obligations.']",cuad,cuad:ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.PDF
Assignment,"['This Agreement and/or any Study Order may not be assigned by either Party except as agreed upon in writing by the other Party.', ""MD Anderson shall not subcontract any of its or the Principal Investigator's responsibilities under this Agreement without the prior written consent of Adaptimmune."", 'Any assignment or attempt to assign, or any delegation or attempt to delegate, not in accordance with this Section shall be void and without effect.']",cuad,cuad:ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF
Assignment,['This Agreement shall not be assignable by Consultant.'],cuad,"cuad:ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1).PDF"
Assignment,"['Any purported assignment or transfer, by operation of law or otherwise, not having the prior written consent of AIRSOPURE shall be null and void and shall constitute a material breach of this Agreement.']",cuad,cuad:AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT.PDF
Assignment,"['This Agreement is solely for the benefit of the parties hereto and is not binding upon or enforceable by any other persons', 'No party to this Agreement may assign its rights or delegate its obligations under this Agreement, whether by operation of law or otherwise, and any assignment in contravention hereof shall be null and void.']",cuad,cuad:ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT.PDF
Assignment,"['This Agreement and all rights and duties hereunder are personal to Diplomat and shall not, without the written consent of KI, Inc., be assigned, mortgaged, sublicensed or otherwise encumbered by Diplomat or by operation of law.', 'KI, Inc. may assign its rights hereunder, but shall furnish written notice of such assignment to Diplomat.']",cuad,cuad:AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.PDF
Assignment,['Agency may not assign this Agreement without the written permission of MICOA or its successors or assigns.'],cuad,cuad:AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT.PDF
Assignment,"['Any assignment or transfer of this Agreement in violation of this Section 9.8 will be null and void.', 'OntoChem may engage one or more subcontractors to perform its activities under the Research Plan with the prior written approval of Anixa and provided that, with respect to any such subcontractor, OntoChem will (a) be responsible and liable for the performance of such subcontractor and (b) enter into a written agreement (i) consistent with terms and conditions of this Agreement, including with respect to confidentiality and intellectual property, and (ii) prohibiting such subcontractor from further subcontracting. For clarity, vendors where commercial building blocks or compounds will be purchased are nor regarded as subcontractors.', 'Neither Party may assign or otherwise transfer this Agreement (or any of its rights or obligations hereunder) without the prior written consent of the other Party, except that either Party may assign this Agreement without such consent to an entity that acquires all or substantially all of the business or assets of such Party to which this Agreement relates, whether by merger, consolidation, sale of assets or otherwise.']",cuad,cuad:ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT.PDF
Assignment,"['The rights granted the Company hereunder shall be used only by it and shall not, without the prior written consent of Nantz Communications or Nantz, be transferred or assigned to\n\n\n\n\n\nany other.', 'Accordingly, except as otherwise expressly provided below, neither Nantz Communications nor Nantz shall assign any of their respective rights or delegate any of their respective duties or obligations under this Agreement without the written consent of the Company.']",cuad,"cuad:ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC..PDF"
Assignment,['Neither party may assign this Agreement without the prior written consent of the other.'],cuad,cuad:ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement.PDF
Assignment,"['Neither party may assign its rights and obligations under this Agreement without the written consent of the other party.', 'The Contractor shall not assign this Agreement or any of its rights, powers, duties or obligations hereunder without the express prior written consent of the Company, which shall not be unreasonably withheld.', 'In the event that the Company engages a third party to perform any of the obligations of the Contractor under this Agreement, the Company 19\n\n\n\n\n\n shall provide written notice to the Contractor of such engagement, the Contractor shall thereafter be relieved of any such obligations for which the third party was engaged.']",cuad,cuad:ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT.PDF
Assignment,"[""Except as expressly provided for herein, neither party may assign or otherwise transfer any of its rights or obligations under this Agreement without the other party's prior written approval and any such assignment or transfer shall be void.""]",cuad,cuad:AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT.PDF
Assignment,"['The Manufacturer may not transfer or assign any of its rights or obligations under this agreement without the prior written consent of the Customer.', 'On either party assigning or attempting to assign this agreement without the prior written consent of the other party.', 'The Customer may not freely transfer or assign its rights or obligations under this agreement without the prior written consent of the Manufacturer.']",cuad,cuad:AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement.pdf
Assignment,"['Any assignment or transfer, or attempted assignment or transfer, by either Party in violation of the terms of this Section 15.6 shall be null and void and of no legal effect.', ""Neither Party may assign or transfer this Agreement or any rights or obligations hereunder without the prior written consent of the other Party, except that a Party may make such an assignment or transfer without the other Party's written consent to (a) any of its Affiliates, in whole or in part, or (b) any Third Party in connection with (i) the acquisition of such Party by or merger or consolidation of such Party with another entity or (ii) a merger, consolidation, sale of stock, sale of all or substantially all of such Party's assets or other similar transaction in which such Third Party either becomes the owner of all or substantially all of the business and assets of (y) such Party or (z) that portion of such Party's business or business unit relating to this Agreement.""]",cuad,cuad:AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement.pdf
Assignment,"['Without the prior written consent of the other party, neither party shall assign or transfer any of its rights or obligations hereunder, in whole or in part, to any third party, and any purported assignment without such prior written consent shall be null and void and of no force and effect; except that notice, but no consent shall be required for such assignment or transfer in connection with an internal reorganization or sale of the transferring party, including by merger or other business combination, or a sale of substantially all of the assets of the transferring party.']",cuad,cuad:AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.pdf
Assignment,['Neither Newegg nor Allied shall have the right or power to assign or transfer any part of its rights or obligations under this Agreement without the prior consent in writing of the other Party'],cuad,cuad:AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement.pdf
Assignment,"['Any purported assignment in violation of this paragraph shall be void and ineffectual and shall not operate to transfer or assign any interest or title to the purported assignee.', 'Except as otherwise provided in this Section 12.2, neither this Agreement nor any interest hereunder shall be assignable by any Party without the prior written consent of the other (which consent shall not be unreasonably withheld, conditioned or delayed); provided, however, that either Party may assign this Agreement to any wholly-owned subsidiary or to any successor by merger or sale of substantially all of its business unit to which this Agreement relates.']",cuad,"cuad:Antares Pharma, Inc. - Manufacturing Agreement.PDF"
Assignment,"['This Agreement will automatically terminate in the event of its ""assignment"" (as such term is defined for purposes of Section 15(a) (4) of the Investment Fund Act).']",cuad,cuad:ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.pdf
