label,text
Intellectual Property,Such usage may not be sold or transferred.
Governing Law,This Agreement is governed by English law.
Payment Terms,MSL's target is [*]% defect free production.
Assignment,This Agreement shall not be assignable by Consultant.
Intellectual Property,FMI and Roche shall jointly own all Joint Inventions.
Governing Law,This Agreement is governed by the laws of England and Wales.
Insurance,Oak Ridge shall arrange product liability and warranty insurance.
Payment Terms,• Minimum yearly purchases of [***] units on each contract year.
Auto-Renewal,It is established by calendar year and renewed tacitly every year.
Governing Law,This Agreement shall be governed by the laws of the State of Iowa.
Governing Law,This Agreement shall be governed by the laws of the State of Texas.
Governing Law,This Agreement shall be governed by the laws of the state of Florida.
Governing Law,This Agreement shall be governed by the laws of the State of Florida.
Liability,HEMISPHERX will have the option at any time to buy out this Agreement.
Governing Law,This Agreement shall be governed by the internal laws State of New York.
Exclusivity,The Vitamin Shoppe is the proud exclusive vitamin sponsor of drkoop.com.
Intellectual Property,"Upon written request of ArTara, University will assign the IND to ArTara."
Auto-Renewal,Contract is renewable for 1 year extension by amendment to this agreement.
Payment Terms,"All interventions on site are subject to a minimum total charge of $2,000."
Governing Law,This Agreement shall be interpreted under the laws of the State of Nevada.
Termination,LICENSEE may terminate this Agreement upon ninety (90) days written notice.
Assignment,Society membership rights and privileges cannot be transferred or assigned.
Governing Law,The Master Franchise Agreement requires application of the laws of New York.
Liability,Both parties will not have liability for any damages other than direct damages.
Governing Law,This Agreement shall be governed by and construed in accordance with Swiss law.
Payment Terms,The Distributor's single purchase order amount shall be a minimum of five units.
Governing Law,This Affiliate Agreement shall be governed by the laws of the State of Delaware.
Assignment,This Agreement is not assignable by Agent without prior written consent by Kallo.
Governing Law,This Agreement is to be construed according to the laws of the State of Illinois.
Governing Law,This Agreement shall be governed and construed according to the law of Tennessee.
Assignment,Title to all Joint Venture Property will remain in the name of the Joint Venture.
Warranty,Supply of drugs/medications and spare parts during and after the warranty period.
Non-Compete,Agent may not offer or promote competitive products without the consent of Kallo.
Termination,Either party may terminate this agreement by providing Ninety days Written Notice.
Termination,Either party may terminate this Agreement at any time with 30 days written notice.
Insurance,To be covered by the Seller for 110% invoice value against All Risks and War Risk.
Termination,Any Party hereto may terminate this Agreement at any time upon prior written notice.
Assignment,FCC may not assign or delegate its rights or obligations pursuant to this Agreement.
Insurance,Sponsors must have their own liability insurance with limits of one million dollars.
Termination,Client may terminate this Agreement on thirty (30) days written notice without cause.
Governing Law,This Agreement shall be construed in accordance with the laws of the State of Kansas.
Intellectual Property,"Inktomi, and Inktomi hereby irrevocably assigns to Microsoft an [*] interest therein."
Auto-Renewal,"License Term Perpetual, unlimited runs x Other: 2 years Commencing: November 15, 2012"
Auto-Renewal,"Thereafter, this Agreement automatically renews for successive terms of one (1) year."
Intellectual Property,An entity may transfer its right to use a certain piece of Software to its Affiliate.
Termination,"After the first year and upon 180 days written notice, Reseller may terminate the AMC."
Governing Law,This Amendment shall be governed by and construed in accordance with the laws of Japan.
Assignment,Neither party may assign this Agreement without the prior written consent of the other.
Termination,Either Party may terminate this Agreement at any time prior to delivery of the Product.
Termination,XFN may terminate this Agreement by giving thirty (30) days written notice to the CEIS.
Assignment,No Party may assign this Agreement without the prior written consent of the other Party.
Dispute Resolution,The parties desire to resolve disputes arising out of this Agreement without litigation.
Governing Law,"This Agreement shall be governed by, and construed in accordance with the laws of Spain."
Governing Law,This Agreement shall be interpreted in accordance with the laws of the State of Indiana.
Governing Law,The laws of California shall govern the construction and enforceability of the Agreement.
Termination,Either party shall have the right to terminate this Agreement at any time for any reason.
Termination,Either Party may terminate this agreement for non-cause with a sixty (60) written notice.
Governing Law,"This Agreement shall be governed by, and construed in accordance with the laws of Taiwan."
Intellectual Property,You have no right to sublicense either the Proprietary Marks or the System to anyone else;
Governing Law,This Agreement shall be construed in accordance with the laws of the District of Columbia.
Intellectual Property,"Publishers grant to HealthGate a perpetual, royalty-free licence to use the Specification."
Governing Law,This Agreement shall be interpreted and construed under the laws of the State of New York.
Payment Terms,"plan_b shall pay LICENSOR a share of its revenues as set forth in APPENDIX 2 (""REVENUES"")."
Termination,Either party may terminate this Agreement at any time on prior written notice to the other.
Assignment,This Agreement may not be modified or assigned except in writing signed by SRP and Logan's.
Termination,This Agreement may also be terminated by either party upon ninety (90) days written notice.
Audit Rights,"All such information shall be available for inspection by Erchonia, upon reasonable notice."
Assignment,This Agreement shall not be assigned by mPhase without the prior written consent of Lucent.
Assignment,"Any other assignment by the parties, requires the prior written consent of the other Party."
Governing Law,This agreement shall be governed by the Laws of England (English common and statutory Law).
Assignment,The rights and obligations provided by this Agreement shall not be assignable by any Party.
Intellectual Property,"Upon termination of the Agreement, VerticalNet and Impresse shall jointly own all User Data."
Governing Law,This Agreement shall be governed and construed according to the laws of the State of Kansas.
Governing Law,This Agreement is governed by and shall be construed in accordance with the laws of Hong Kong
Governing Law,This Agreement shall be constructed under and governed by the laws of the State of Tennessee.
Termination,Developer may also terminate this Agreement by giving two (2) weeks' notice in writing to VAL.
Governing Law,"This Agreement shall be governed by, construed in accordance with the laws of Ontario, Canada."
Termination,Either party may terminate this Agreement by providing [*] month's written notice to the other.
Auto-Renewal,Without notification the contract will automatically extend for an additional month of service.
Assignment,This Agreement may not be assigned without the prior written consent of the other Party hereto.
Governing Law,The parties hereby agree that this Agreement shall be construed in accordance with English law.
Liability,"In any event, neither party shall be liable for any special, consequential or incidental damages."
Termination,"Either Party may terminate this Agreement, without cause, by giving two (2) years written notice."
Assignment,"Berkshire may not assign this Agreement, in whole or in part, without Auriemma's written consent."
Intellectual Property,"Upon termination of the Agreement, VerticalNet and LeadersOnline shall jointly own all User Data."
Governing Law,This AGREEMENT shall be governed by and construed under the Laws of the Republic of South Africa.
Governing Law,This Agreement is governed by and construed in accordance with the laws of the State of Virginia.
Payment Terms,The revenue from such occasional use shall be shared by the Parties in accordance with Schedule B
Dispute Resolution,You shall not directly or indirectly contest the validity of the ownership of the Licensed Marks.
Governing Law,"This Agreement shall be governed by and interpreted under the laws of the State of Florida, USA,."
Termination,Dragon may terminate this agreement without cause by giving sixty (60) days written notice to MMI.
Intellectual Property,Data relating to the use of the Co-Branded Pages will be jointly owned and shared by both parties.
Termination,Client has the unilateral right to cancel this agreement at any time within a 7-day notice period.
Governing Law,"This Agreement will be governed by the laws of California, without reference to conflicts of laws."
Dispute Resolution,Detto shall not contest the validity of any of the Property or PivX's exclusive ownership of them.
Intellectual Property,No license granted by either party under this IP Agreement includes the right to grant sublicenses.
Governing Law,This Agreement shall be governed by and construed in accordance with the laws of England and Wales.
Termination,Tripath or Distributor may terminate this Agreement for any reason with thirty days written notice.
Governing Law,This Agreement shall be governed by and construed in accordance with the laws of the State of Iowa.
Governing Law,This Manual is governed in all its parts by the applicable regulations of the Republic of Colombia.
Governing Law,This Amendment shall be governed by and construed under the law governing the Distributor Agreement.
Governing Law,THIS AGREEMENT SHALL BE GOVERNED BY AND CONSTRUED IN ACCORDANCE WITH THE LAWS OF THE SIATE OF TEXAS.
Governing Law,This Agreement shall be governed by and construed in accordance with the laws of the State of Texas.
Governing Law,This Agreement will be governed by and construed in accordance with the laws of the State of New York
Governing Law,This Agreement shall be governed by and construed in accordance with the laws of the State of Florida.
Governing Law,The terms of this Agreement shall be governed by and construed in accordance with the laws of England.
Governing Law,This Agreement shall be governed and construed in accordance with the laws of the Province of Ontario.
Governing Law,This Agreement shall be construed and enforced in accordance with the laws of the State of New Jersey.
Non-Compete,i-Escrow shall not run banner advertisements on the Co-Branded Site for any of 2TheMart's competitors.
Termination,We will have the right to terminate the Ad Fund by giving you thirty (30) days' advance written notice.
Governing Law,"The validity, implementation and interpretation of this Agreement shall be governed by the laws of PRC."
Exclusivity,All such Contractors must process Merchant applications and transactions exclusively through Network 1.
Termination,The Consultant may terminate the Consultation Period at any time upon thirty (30) days' written notice.
Governing Law,This Agreement shall be governed by and construed in accordance with the laws of the state of Delaware.
Governing Law,"This Agreement shall be governed by, and construed in accordance with the law of the State of New York."
Auto-Renewal,The Agreement may be renewed for an additional period of seven (7) years at the option of the Licensor.
Governing Law,This Agreement shall be governed by and construed in accordance with the laws of the State of Missouri.
Termination,"Upon termination, Consultant agrees to perform the necessary information transfer required at the time."
Non-Compete,Nothing in this Agreement shall prohibit Co-Host from distributing competing products in the Territory.
Insurance,In this regard CONSULTANT shall be an additional insured under Company's applicable insurance coverages
Assignment,This Agreement may not be assigned by either party without the prior written consent of the other party.
Assignment,This Agreement may not be assigned by either Party without the prior written consent of the other Party.
Insurance,Each party agrees to carry liability insurance sufficient to cover the risks posed under this Agreement.
